537,1433670499.73
537,1433670505.06
84,1433670509.06
213,1433670513.07
84,1433670517.08
213,1433670521.09
84,1433670525.09
213,1433670529.1
83,1433670533.1
212,1433670537.11
89,1433670541.12
211,1433670545.12
91,1433670549.13
185,1433670553.13
88,1433670557.14
185,1433670561.14
87,1433670565.15
212,1433670569.16
86,1433670573.16
212,1433670577.17
85,1433670581.17
212,1433670585.18
85,1433670589.19
212,1433670593.19
85,1433670597.2
212,1433670601.2
84,1433670605.21
212,1433670609.22
84,1433670613.22
212,1433670617.23
84,1433670621.23
212,1433670625.24
84,1433670629.25
212,1433670633.25
84,1433670637.26
212,1433670641.26
84,1433670645.27
212,1433670649.28
84,1433670653.28
212,1433670657.29
84,1433670661.29
213,1433670665.3
84,1433670669.31
213,1433670673.31
868,1433670714.79
84,1433670718.79
212,1433670722.8
84,1433670726.81
